vacancy_name,gender,age,city,skills,experience,last_job,resume_url
Data Scientist,Male,,Moscow,"SQL,Python,NumPy,pandas,Machine Learning,sklearn,XGBoost,LightGBM,Data Analysis,Data Mining","Work experience ,5, ,years, ,9, ,months",,https://hh.ru/resume/eba531c30006567ca70039ed1f473637364863?hhtmFrom=resume_search_result&query=Data
Data Engineer / Project Manager,Male,33,Moscow,"Booking Hotels,Analytical skills,Data Analysis,Customer Relationship Management,Customer Service,Customer Support,E-Commerce,MS Office,SQL,Shipping,Opera","Work experience ,12, ,years, ,1, ,month",Леруа Мерлен,https://hh.ru/resume/f4fc3b2700028167ac0039ed1f30416657544b?hhtmFrom=resume_search_result&query=Data
Управляющий активами,Мужчина,37,Москва,"Python,R,SQL,Риск-менеджмент,Tableau,Управление рисками,Машинное обучение,Количественное инвестрирование,Алгоритмическая торговля,Фондовый рынок,Валютный рынок,Инвестиционный консалтинг,Kaggle","Опыт работы ,15, ,лет, ,5, ,месяцев","Пермский государственный университет, Пермь",https://hh.ru/resume/68f5f69c00015d0ec70039ed1f464c6b4f304c?hhtmFrom=resume_search_result&query=Data
Junior Data science (intern),Male,20,Moscow,"C++,Python,Sklearn,Pandas,Numpy,Keras,Git,ADO.NET,Java,C#,JSON API,C++17,Linear Algebra,XML,JavaScript,Analytical skills,STL,Matplotlib,Seaborn","Work experience ,4, ,months",Acronis,https://hh.ru/resume/ed6cef170005e942a70039ed1f51374e646875?hhtmFrom=resume_search_result&query=Data
Big Data аналитик/ Python developer,Мужчина,35,Москва,"Составление бизнес-плана,Работа С Отчетностью,Python,Big Data,Machine Learning,Django Framework,Аналитическое мышление,Анализ данных,Навыки переговоров","Опыт работы ,12, ,лет, ,5, ,месяцев",РосБизнесКонсалтинг,https://hh.ru/resume/2a751cb000019d3d910039ed1f627042304931?hhtmFrom=resume_search_result&query=Data
Data Scientist,Мужчина,28,Москва,"Математическая статистика,SQL,MS Office,Linux,Оптимизация бизнес-процессов,R (programming language),CRM,Базы данных,Веб-аналитика,Python,Data-driven Optimization,ETL,A/B тесты,Data Mining,Google Analytics,Машинное обучение,Digital Marketing,Research,Neural Networks,Financial Analysis,Big Data,Business intelligence","Опыт работы ,4, ,года, ,2, ,месяца",Сбербанк,https://hh.ru/resume/b39669e90003eae3a30039ed1f773643373254?hhtmFrom=resume_search_result&query=Data
CRM / Data quality analyst,Male,29,Moscow,"MS Excel,Revenue management,Sabre,Испанский язык,SAP,MS PowerPoint,Исследования рынка,Marketing Analysis,Business English,Market Research,Big Data,Loyalty Marketing","Work experience ,6, ,years, ,8, ,months",Philip morris international,https://hh.ru/resume/7dd087b50001f89f070039ed1f554567685439?hhtmFrom=resume_search_result&query=Data
Data scientist,Женщина,23,Москва,"Java,Oracle Pl/SQL,Hadoop,Bash,Git,SQL,Atlassian Jira,Python,Machine learning,Математическая статистика,Tensorflow,Pytorch,NoSQL,Spark","Опыт работы ,3, ,года, ,4, ,месяца",Тензор,https://hh.ru/resume/b7703e76000305d7840039ed1f61334f58646f?hhtmFrom=resume_search_result&query=Data
Project Manager,Женщина,28,Москва,"Python,Git,SQL,PostgreSQL,Django Framework,Linux,Nginx,API,REST,Flask","Опыт работы ,6, ,лет, ,1, ,месяц",Сбербанк,https://hh.ru/resume/69e5fcc4000649b0710039ed1f6e635a594572?hhtmFrom=resume_search_result&query=Data
Data Scientist,Мужчина,23,Москва,"Python,Linux,Git,SQL,Keras,Pandas,Numpy,OpenCV,Java,C++,MATLAB,MS Office,Django Framework,Data Analysis,HTML,CSS,Ubuntu,Базы данных,Математическая статистика","Опыт работы ,1, ,год, ,6, ,месяцев","Московский государственный технический университет им. Н.Э. Баумана, Москва",https://hh.ru/resume/c794ee0000071c72390039ed1f673135435238?hhtmFrom=resume_search_result&query=Data
